,Unnamed: 0,Unnamed: 0.1,Stim number,word,color,is congruent,Stim timestamp,key pressed,key timestamp,delta T,is correct
130,130,130,131,yellow,blue,0,408.96034563842113,b,410.5543160281771,1.5939703897559525,1
131,131,131,132,red,green,0,413.1266062194711,g,413.60974697660174,0.4831407571306272,1
132,132,132,133,red,yellow,0,416.1394928774525,y,417.6516196896327,1.5121268121801563,1
133,133,133,134,yellow,red,0,419.6349435099047,r,421.1212592911269,1.4863157812222312,1
134,134,134,135,green,yellow,0,423.2807977521926,y,425.6279863209192,2.347188568726608,1
135,135,135,136,red,yellow,0,427.5414177884364,y,428.362983526145,0.8215657377085677,1
136,136,136,137,red,red,1,430.6966011710828,r,431.4530769228747,0.7564757517919247,1
137,137,137,138,blue,green,0,433.62710791081537,g,435.3102816195583,1.6831737087429133,1
138,138,138,139,blue,green,0,437.36186335904296,g,438.42880759949327,1.0669442404503116,1
139,139,139,140,blue,red,0,440.57635486395054,r,441.556029465521,0.9796746015704798,1
140,140,140,141,green,yellow,0,443.9100991755245,y,445.0651701227583,1.155070947233753,1
141,141,141,142,yellow,green,0,447.25034869299503,g,449.1052401250319,1.8548914320368797,1
142,142,142,143,yellow,red,0,451.4632864779088,r,452.7024609470074,1.239174469098657,1
143,143,143,144,green,yellow,0,455.23958537126833,y,456.92594873133794,1.6863633600696062,1
144,144,144,145,blue,red,0,458.57221405572767,r,459.76745135346135,1.1952372977336836,1
145,145,145,146,yellow,red,0,461.84550768106686,y,463.0498358857379,1.2043282046710146,0
146,146,146,147,red,blue,0,465.03445749565554,b,466.5346101663032,1.5001526706475945,1
147,147,147,148,red,red,1,468.7411223939987,r,469.3102720141041,0.5691496201054065,1
148,148,148,149,yellow,red,0,471.3230818163934,r,472.6622515693104,1.3391697529169164,1
149,149,149,150,red,yellow,0,474.3897461379402,y,475.7464742530333,1.3567281150931194,1
150,150,150,151,red,red,1,477.49522296255896,r,478.27871307983565,0.783490117276699,1
151,151,151,152,yellow,yellow,1,480.88262593887697,y,482.0852013083656,1.2025753694886705,1
152,152,152,153,blue,yellow,0,484.137045289507,y,484.97321681193534,0.8361715224283444,1
153,153,153,154,blue,blue,1,487.101706036871,b,487.7038832527859,0.6021772159148782,1
154,154,154,155,green,red,0,490.0233092885925,g,490.6080990886035,0.5847898000110376,0
155,155,155,156,blue,blue,1,492.9681143084248,b,493.88506611208805,0.9169518036632098,1
156,156,156,157,red,green,0,495.8957394953866,g,497.3618690830627,1.4661295876760505,1
157,157,157,158,blue,green,0,499.7748078463604,g,500.3653567986366,0.5905489522762082,1
158,158,158,159,red,green,0,502.2681510641452,g,503.666737167154,1.3985861030088245,1
159,159,159,160,yellow,blue,0,505.4066710929537,b,506.7238881312088,1.3172170382550237,1
